时间,联赛,开赛,主队,客队,ID,初盘,即时盘,盘差,初时间,即时时间
2026-09-05 17:13:06,韩K联,18:00,富川FC,大田市民,2929711,2.5 [0.89/0.83],2.5/3 [0.93/0.79],0.25,9-2 22:28,9-5 17:09
2026-09-05 17:13:06,日职乙,17:30,藤枝MYFC,八户云罗里,3000054,2/2.5 [0.87/0.85],2 [0.76/0.96],0.25,9-2 22:22,9-5 17:03
2026-09-05 17:13:06,韩K联,18:00,济州SK,蔚山HD,2929712,2.5 [0.79/0.93],2.5/3 [0.83/0.89],0.25,9-2 22:28,9-5 17:11
2026-09-05 17:13:06,日职乙,18:00,湘南海洋,仙台维加泰,3000060,2/2.5 [0.90/0.82],2.5 [0.98/0.74],0.25,9-2 22:22,9-5 17:07
2026-09-05 17:13:06,日职乙,18:00,德岛漩涡,磐城FC,3000061,2/2.5 [0.96/0.76],2.5 [0.96/0.76],0.25,9-2 22:22,9-5 17:00
2026-09-05 17:13:06,德乙,19:00,凯泽斯劳滕,达姆施塔特,3019124,3 [0.97/0.75],2.5/3 [0.81/0.91],0.25,9-3 00:34,9-5 16:36
2026-09-05 17:13:06,德乙,19:00,沃尔夫斯堡,科特布斯,3019127,3/3.5 [0.81/0.91],3.5 [0.89/0.83],0.25,9-3 00:34,9-5 17:11
2026-09-05 17:13:06,意甲,21:00,佛罗伦萨,都灵,2993778,2/2.5 [0.85/0.95],2.5 [0.92/0.88],0.25,9-2 09:44,9-5 16:54
2026-09-05 17:13:06,德甲,21:30,门兴格拉德巴赫,埃弗斯堡,3018796,3 [0.94/0.86],3/3.5 [0.92/0.88],0.25,9-2 09:44,9-5 17:06
2026-09-05 17:13:06,德甲,21:30,云达不莱梅,RB莱比锡,3018803,3/3.5 [0.99/0.81],3.5 [0.98/0.82],0.25,9-2 09:44,9-5 17:02
2026-09-05 17:13:06,挪超,22:00,罗森博格,汉坎,2912887,3 [0.76/0.96],3/3.5 [0.89/0.83],0.25,9-2 22:42,9-5 13:18
2026-09-05 17:13:06,英超,22:00,布莱顿,利兹联,3003871,2.5 [0.82/0.98],2.5/3 [0.97/0.83],0.25,9-2 09:44,9-5 16:54
2026-09-05 17:13:06,英超,22:00,诺丁汉森林,托特纳姆热刺,3003878,2.5 [0.96/0.84],2.5/3 [0.99/0.81],0.25,9-2 09:44,9-5 17:09
2026-09-05 17:13:06,英冠,22:00,西汉姆联,德比郡,3008209,2.5/3 [0.83/0.89],3 [0.93/0.79],0.25,9-4 02:14,9-5 17:11
2026-09-05 17:13:06,荷甲,22:30,奈梅亨,费耶诺德,2996135,3.5 [0.78/0.94],3/3.5 [0.77/0.95],0.25,9-2 22:45,9-5 16:49
2026-09-05 17:13:06,沙特联,23:55,布赖代合作,哈萨征服,3046974,2.5/3 [0.82/0.90],3 [0.92/0.80],0.25,9-2 22:22,9-5 16:38
2026-09-05 17:13:06,瑞士超,00:00,年轻人,卢塞恩,3000810,3.5/4 [0.75/0.97],4 [0.93/0.79],0.25,9-5 00:10,9-5 16:54
2026-09-05 17:13:06,西甲,00:30,巴列卡诺,桑坦德竞技,3013679,2.5 [0.83/0.97],2.5/3 [0.88/0.92],0.25,9-2 09:44,9-5 16:24
2026-09-05 17:13:06,土超,01:00,费内巴切,贝西克塔斯,3026718,2.5/3 [0.87/0.85],2.5 [0.84/0.88],0.25,9-3 23:24,9-5 16:19
2026-09-05 17:13:06,沙特联,02:00,吉达联合,利雅得胜利,3046975,3.5 [0.95/0.77],3/3.5 [0.75/0.97],0.25,9-2 22:22,9-5 16:54
2026-09-05 17:13:06,法甲,02:45,勒阿弗尔,布雷斯特,2995327,2/2.5 [0.85/0.95],2.5 [1.00/0.80],0.25,9-2 09:45,9-5 17:00
2026-09-05 17:13:06,荷甲,02:00,阿贾克斯,埃因霍温,2996137,3.5 [0.79/0.93],3.5/4 [0.94/0.78],0.25,9-2 22:45,9-5 16:46
2026-09-05 17:13:06,意甲,02:45,罗马,亚特兰大,2993775,2.5 [0.91/0.89],2.5/3 [0.85/0.95],0.25,9-2 09:45,9-5 16:16
2026-09-05 17:13:06,巴西甲,03:00,布拉干蒂诺RB,巴伊亚,2910878,2.5 [0.82/0.90],2.5/3 [0.93/0.79],0.25,9-4 03:07,9-5 16:42
2026-09-05 17:13:06,美职业,07:30,费城联合,CF蒙特利尔,2908749,3 [0.70/1.02],3/3.5 [0.86/0.86],0.25,9-2 22:34,9-5 13:51
